implementation,corpus_name,cold_ns,warm_ns,parse_eval_ns,compile_ns,memory_bytes_per_eval
corvus-generated-jit,gitpod-configuration,110000000,68290,490680,36420000,0
corvus-generated-aot,gitpod-configuration,4400000,68660,487990,160000,0
blaze-compile,helm-chart-lock,14400000,81260,12789329,400000,
blaze-template,helm-chart-lock,15300000,81260,12789329,0,
corvus-runtime-jit,helm-chart-lock,133400000,186770,1270000,88370000,0
corvus-runtime-r2r,helm-chart-lock,63100000,188300,1460000,,0
corvus-runtime-aot,helm-chart-lock,6300000,197360,1360000,170000,0
corvus-image-jit,helm-chart-lock,121700000,186770,1270000,15840000,0
corvus-image-aot,helm-chart-lock,6600000,197360,1360000,40000,0
corvus-generated-jit,helm-chart-lock,119100000,184970,1120000,28710000,0
corvus-generated-aot,helm-chart-lock,7100000,199490,1300000,60000,0
blaze-compile,importmap,6500000,15680,3522365,100000,
blaze-template,importmap,6500000,15680,3522365,0,
corvus-runtime-jit,importmap,129800000,20280,328170,55760000,0
corvus-runtime-r2r,importmap,44900000,19870,322330,,0
corvus-runtime-aot,importmap,4100000,22470,362800,90000,0
corvus-image-jit,importmap,106900000,20280,328170,15200000,0
corvus-image-aot,importmap,4100000,22470,362800,30000,0
corvus-generated-jit,importmap,99200000,21080,279930,28190000,0
corvus-generated-aot,importmap,4800000,23600,348120,50000,0
blaze-compile,jasmine,5600000,53270,2402245,1100000,
blaze-template,jasmine,5500000,53270,2402245,0,
corvus-runtime-jit,jasmine,138600000,52150,289070,99430000,0
corvus-runtime-r2r,jasmine,44700000,51600,273910,,0
corvus-runtime-aot,jasmine,3300000,53880,243140,170000,0
corvus-image-jit,jasmine,111000000,52150,289070,18310000,0
corvus-image-aot,jasmine,3200000,53880,243140,70000,0
corvus-generated-jit,jasmine,107900000,52960,231250,31720000,0
corvus-generated-aot,jasmine,3500000,57110,270520,90000,0
blaze-compile,jsconfig,13900000,179690,3366343,8200000,
blaze-template,jsconfig,12200000,179690,3366343,0,
corvus-runtime-jit,jsconfig,153300000,145720,464810,92000000,0
corvus-runtime-r2r,jsconfig,53400000,145660,476010,,0
corvus-runtime-aot,jsconfig,4500000,155710,483620,910000,0
corvus-image-jit,jsconfig,135700000,145720,464810,30090000,0
corvus-image-aot,jsconfig,3900000,155710,483620,410000,0
corvus-generated-jit,jsconfig,118700000,145950,428040,39280000,0
corvus-generated-aot,jsconfig,4700000,148890,480530,490000,0
blaze-compile,jshintrc,9400000,466250,4897507,2300000,
blaze-template,jshintrc,9200000,466250,4897507,0,
corvus-runtime-jit,jshintrc,127500000,107500,624760,79450000,0
corvus-runtime-r2r,jshintrc,47900000,108130,651690,,0
corvus-runtime-aot,jshintrc,4700000,108090,732530,250000,0
corvus-image-jit,jshintrc,102900000,107500,624760,21580000,0
corvus-image-aot,jshintrc,4100000,108090,732530,100000,0
corvus-generated-jit,jshintrc,107800000,99830,568510,31440000,0
corvus-generated-aot,jshintrc,5000000,112090,716480,150000,0
blaze-compile,krakend,55300000,85330,989104,62500000,
blaze-template,krakend,44600000,85330,989104,0,
corvus-runtime-jit,krakend,177000000,66350,155060,109830000,0
corvus-runtime-r2r,krakend,61900000,66490,178080,,0
corvus-runtime-aot,krakend,8600000,75640,197710,5200000,0
corvus-image-jit,krakend,119900000,66350,155060,36060000,0
corvus-image-aot,krakend,5500000,75640,197710,2090000,0
corvus-generated-jit,krakend,124500000,64290,158620,52790000,0
corvus-generated-aot,krakend,5800000,79280,188090,2360000,0
blaze-compile,lazygit,16000000,56730,989353,13000000,
blaze-template,lazygit,13400000,56730,989353,0,
corvus-runtime-jit,lazygit,159800000,38180,146730,109520000,0
corvus-runtime-r2r,lazygit,56900000,39410,150680,,0
corvus-runtime-aot,lazygit,4500000,42100,151930,1370000,0
corvus-image-jit,lazygit,123800000,38180,146730,37070000,0
corvus-image-aot,lazygit,3500000,42100,151930,870000,0
corvus-generated-jit,lazygit,123000000,39260,141390,45210000,0
corvus-generated-aot,lazygit,4100000,42800,153820,1000000,0
blaze-compile,lerna,6400000,60500,3105315,700000,
blaze-template,lerna,6300000,60500,3105315,0,
corvus-runtime-jit,lerna,153600000,34890,319900,69380000,0
corvus-runtime-r2r,lerna,42300000,34240,297190,,0
corvus-runtime-aot,lerna,3700000,35840,300740,150000,0
corvus-image-jit,lerna,100400000,34890,319900,16060000,0
corvus-image-aot,lerna,3600000,35840,300740,60000,0
corvus-generated-jit,lerna,102900000,33840,255960,28770000,0
corvus-generated-aot,lerna,3900000,37510,286330,100000,0
blaze-compile,nest-cli,9700000,90630,3642355,3900000,
blaze-template,nest-cli,9000000,90630,3642355,0,
corvus-runtime-jit,nest-cli,140000000,63270,389370,78180000,0
corvus-runtime-r2r,nest-cli,49500000,62820,411020,,0
corvus-runtime-aot,nest-cli,4400000,63020,395230,420000,0
corvus-image-jit,nest-cli,113100000,63270,389370,25110000,0
corvus-image-aot,nest-cli,4400000,63020,395230,170000,0
corvus-generated-jit,nest-cli,110200000,61930,344130,31480000,0
corvus-generated-aot,nest-cli,4400000,66730,400180,220000,0
blaze-compile,omnisharp,9700000,239020,4369443,3700000,
blaze-template,omnisharp,9300000,239020,4369443,0,
corvus-runtime-jit,omnisharp,134600000,67490,465530,73260000,0
corvus-runtime-r2r,omnisharp,50300000,70580,470390,,0
corvus-runtime-aot,omnisharp,4500000,74680,549960,380000,0
corvus-image-jit,omnisharp,108200000,67490,465530,22640000,0
corvus-image-aot,omnisharp,4200000,74680,549960,160000,0
corvus-generated-jit,omnisharp,117500000,68320,403250,30150000,0
corvus-generated-aot,omnisharp,4900000,79060,551080,210000,0
blaze-compile,openapi,90600000,5820000,77685603,11800000,
blaze-template,openapi,86000000,5820000,77685603,0,
corvus-runtime-jit,openapi,298900000,2990000,13040000,97570000,0
corvus-runtime-r2r,openapi,250200000,2850000,14330000,,0
corvus-runtime-aot,openapi,50600000,2930000,16070000,1270000,0
